chr	start	end	strand	gene	A7BDE-785-01-07-111-0075_T.Aligned.sortedByCoord.out.count	A7BDE-785-02-07-111-0075_U.Aligned.sortedByCoord.out.count	A7BDE-785-03-07-111-0082_T.Aligned.sortedByCoord.out.count	A7BDE-785-04-07-111-0082_U.Aligned.sortedByCoord.out.count	A7BDE-785-05-07-111-0085_T.Aligned.sortedByCoord.out.count
chr13	32949543	32950806	+	BRCA2	351	0	319	0	578
chr13	32801506	32915301	+	BRCA2	5	2	1	0	1
chr17	41267796	41276033	-	BRCA1	2433	2539	1212	1002	2585
chr17	41247888	41353207	-	BRCA1	0	2	0	0	1
chr17	41215968	41222944	-	BRCA1	5	0	0	28	174
chr17	41243049	41246760	-	BRCA1	223	89	170	0	184
chr17	41244961	41435316	-	BRCA1	0	189	0	0	0
chr17	40945164	41201189	-	COA3	0	0	0	0	1
chr13	32920991	33115019	+	BRCA2	1	0	0	0	0
chr17	41014852	41246851	-	PTGES3L-AARSD1	0	0	0	0	1
chr13	32812905	32890645	+	BRCA2	3	0	6	0	0
chr13	32930746	32931878	+	BRCA2	2301	1218	974	439	2212
chr17	41201159	41458972	-	CCDC200	0	0	1	0	0
chr17	40945164	41201189	-	LINC00671	0	0	0	0	1
chr13	32954282	32968825	+	BRCA2	3307	3288	1164	1003	1860
chr13	32662263	32915300	+	BRCA2	1	0	0	0	0
chr17	41215968	41219471	-	BRCA1	0	0	0	28	0
chr17	41267796	41271137	-	BRCA1	24	0	0	0	0
chr17	41228540	41504850	-	LINC00910	2	0	0	0	0
chr13	32812929	32950893	+	BRCA2	0	1	0	0	0
chr13	32647210	32954249	+	FRY	0	1	0	0	0
chr13	32890664	32893213	+	BRCA2	3180	2004	1931	386	1923
chr13	32905167	32906408	+	BRCA2	6591	2819	2788	1446	3472
chr17	41234592	41242960	-	BRCA1	4127	3566	2837	1873	2881
chr17	41014852	41246851	-	BRCA1	0	0	0	0	1
chr13	32971068	33242871	+	PDS5B	0	1	0	0	0
chr13	32754780	32903603	+	BRCA2	1	0	0	0	0
chr17	41209152	41210240	-	BRCA1	25	0	0	0	0
chr17	41247939	41249260	-	BRCA1	1496	805	862	1173	553
chr17	41201159	41458972	-	LINC00910	0	0	1	0	0
chr17	41247882	41276544	-	BRCA1	2	0	0	0	0
chr17	41246877	41247862	-	BRCA1	12232	6510	7169	3612	18910
chr17	41267796	41273574	-	BRCA1	0	0	0	2	0
chr13	32918790	32920963	+	BRCA2	1540	1530	410	1189	680
chr17	40945164	41201189	-	BRCA1	0	0	0	0	1
chr17	41276132	41277198	-	BRCA1	185	155	177	0	183
chr13	32971068	33242871	+	BRCA2	0	1	0	0	0
chr13	32753619	32915300	+	FRY	0	1	0	0	1
chr13	32727036	32915300	+	FRY	0	1	0	0	0
chr13	32812929	32950893	+	FRY	0	1	0	0	0
chr13	32900262	33016996	+	BRCA2	9	0	0	0	0
chr17	41246877	41247863	-	BRCA1	1	0	0	0	0
chr13	32907524	32918694	+	BRCA2	200	0	1	0	0
chr13	32903629	32910401	+	BRCA2	0	0	0	0	131
chr13	32899321	32900237	+	BRCA2	2094	333	767	287	1594
chr17	41209152	41215349	-	BRCA1	1093	466	1076	495	1663
chr17	41196425	41302690	-	LOC101929767	0	0	0	0	18
chr13	32676644	32954250	+	BRCA2	0	0	0	0	1
chr13	32801505	32950893	+	BRCA2	0	1	0	0	0
chr17	41256172	41504850	-	CCDC200	14	4	14	7	2
chr13	32849140	32915300	+	BRCA2	0	0	0	1	0
chr17	41223255	41226347	-	BRCA1	1172	755	1323	781	1065
chr13	32915333	32918694	+	BRCA2	1750	1469	1541	421	703
chr17	41215390	41215890	-	BRCA1	590	393	976	79	636
chr17	41251894	41256138	-	BRCA1	432	268	402	80	144
chr13	32676644	32954250	+	FRY	0	0	0	0	1
chr17	40945164	41201189	-	PTGES3L-AARSD1	0	0	0	0	1
chr13	32801506	32915301	+	FRY	5	2	1	0	1
chr17	41228540	41504850	-	CCDC200	2	0	0	0	0
chr13	32753619	32915300	+	BRCA2	0	1	0	0	1
chr13	32779493	32954248	+	BRCA2	1	1	0	2	0
chr13	32686229	32900397	+	BRCA2	0	1	0	0	0
chr17	41276132	41277293	-	BRCA1	1167	1665	814	419	640
chr13	32943306	32954248	+	BRCA2	0	1	0	0	0
chr17	41256172	41504850	-	LOC101929767	14	4	14	7	2
chr17	41228631	41234420	-	BRCA1	226	0	0	0	0
chr13	32892472	32950893	+	BRCA2	0	0	0	1	0
chr17	41203134	41209068	-	BRCA1	1729	829	537	972	1732
chr13	32896275	32915300	+	BRCA2	1	1	1	0	0
chr17	40945164	41201189	-	PTGES3L	0	0	0	0	1
chr13	32939168	32954249	+	BRCA2	1	0	0	0	0
chr17	41247888	41353207	-	LOC101929767	0	2	0	0	1
chr17	41197819	41199659	-	BRCA1	144	0	151	221	43
chr17	41256172	41411036	-	CCDC200	2	1	1	2	1
chr13	32945237	32950806	+	BRCA2	1992	1178	718	357	1344
chr17	41226538	41228504	-	BRCA1	2711	2233	1664	913	1313
chr17	41244961	41435316	-	LOC101929767	0	189	0	0	0
chr13	32969070	32971034	+	BRCA2	4910	2798	1849	1184	2307
chr17	41219658	41313932	-	LOC101929767	1	0	0	0	0
chr17	41246877	41251791	-	BRCA1	2793	2884	575	1946	2109
chr17	40945164	41201189	-	MIR6781	0	0	0	0	1
chr17	41219659	41365635	-	LOC101929767	0	4	2	0	2
chr17	41256172	41411036	-	BRCA1	2	1	1	2	1
chr13	32854978	32915302	+	BRCA2	1	0	0	0	0
chr17	40945164	41201189	-	VAT1	0	0	0	0	1
chr17	41258550	41267742	-	BRCA1	1998	2051	1769	371	2893
chr17	41219658	41313932	-	BRCA1	1	0	0	0	0
chr17	41251897	41256138	-	BRCA1	1432	983	973	650	705
chr17	40945164	41201189	-	BECN1	0	0	0	0	1
chr17	41201159	41458972	-	BRCA1	0	0	1	0	0
chr13	32958168	32968825	+	BRCA2	100	89	2	0	375
chr17	41256973	41258472	-	BRCA1	1792	1512	1439	132	382
chr13	32900419	32900635	+	BRCA2	4021	1556	1666	1560	1401
chr13	32662263	32915300	+	FRY	1	0	0	0	0
chr13	32686229	32900397	+	FRY	0	1	0	0	0
chr17	41256172	41504850	-	BRCA1	14	4	14	7	2
chr17	41228540	41504850	-	BRCA1	2	0	0	0	0
chr13	32653549	32890645	+	BRCA2	2	0	0	0	0
chr17	41014852	41246851	-	PTGES3L	0	0	0	0	1
chr13	32779493	32954248	+	FRY	1	1	0	2	0
chr13	32921033	32928997	+	BRCA2	1630	2910	1396	327	1824
chr13	32970253	32971034	+	BRCA2	58	130	6	0	0
chr13	32903629	32905055	+	BRCA2	3241	1648	1151	826	1880
chr13	32937670	32944538	+	BRCA2	4095	2143	1307	1197	2846
chr13	32754780	32903603	+	FRY	1	0	0	0	0
chr17	41256278	41256884	-	BRCA1	1146	673	304	164	1206
chr13	32907524	32910401	+	BRCA2	5567	2437	2386	2170	4671
chr17	41249306	41251791	-	BRCA1	1597	1707	1054	836	3676
chr13	32765790	32954249	+	FRY	0	1	0	0	0
chr17	41247939	41251791	-	BRCA1	0	0	0	433	129
chr17	41234577	41246850	-	BRCA1	1	0	0	0	0
chr13	32854978	32954249	+	FRY	0	0	0	1	0
chr17	41014852	41246851	-	AARSD1	0	0	0	0	1
chr17	40945164	41201189	-	AARSD1	0	0	0	0	1
chr13	32765790	32954249	+	BRCA2	0	1	0	0	0
chr17	41228628	41234420	-	BRCA1	174	131	0	3	119
chr13	32750749	32954251	+	FRY	0	0	0	1	0
chr17	41223255	41228504	-	BRCA1	72	0	0	0	0
chr17	41243049	41243451	-	BRCA1	2427	2458	1857	695	2293
chr13	32750749	32954251	+	BRCA2	0	0	0	1	0
chr13	32701911	32915300	+	FRY	0	1	0	0	0
chr17	41219659	41365635	-	BRCA1	0	4	2	0	2
chr13	32653549	32890645	+	FRY	2	0	0	0	0
chr17	41256973	41267742	-	BRCA1	0	0	0	191	0
chr13	32849140	32915300	+	FRY	0	0	0	1	0
chr13	32944686	33065205	+	BRCA2	3	4	2	1	1
chr17	41199720	41203079	-	BRCA1	0	0	0	0	60
chr13	32701911	32915300	+	BRCA2	0	1	0	0	0
chr17	41256973	41258494	-	BRCA1	127	124	0	0	28
chr17	41215968	41219624	-	BRCA1	840	1194	500	646	1541
chr17	41256172	41504850	-	LINC00910	14	4	14	7	2
chr17	41256172	41411036	-	LOC101929767	2	1	1	2	1
chr13	32884326	32918768	+	BRCA2	0	0	0	1	0
chr13	32906440	32951875	+	BRCA2	0	0	0	0	17
